"filename", "language", "Java", "Java Properties", "Shell Script", "MS SQL", "Batch", "Markdown", "XML", "PlantUML", "comment", "blank", "total"
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\ForumCommentDTO.java", "Java", 15, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\ForumPostDTO.java", "Java", 26, 0, 0, 0, 0, 0, 0, 0, 1, 3, 30
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\ProjectDTO.java", "Java", 22, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\RecommendationRequestDTO.java", "Java", 249, 0, 0, 0, 0, 0, 0, 0, 12, 84, 345
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\RecommendationResponseDTO.java", "Java", 162, 0, 0, 0, 0, 0, 0, 0, 4, 47, 213
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\SchoolDTO.java", "Java", 139, 0, 0, 0, 0, 0, 0, 0, 8, 44, 191
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\SchoolProgramDTO.java", "Java", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\UpdateUserRoleRequestDTO.java", "Java", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\UserDTO.java", "Java", 24, 0, 0, 0, 0, 0, 0, 0, 1, 3, 28
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\exception\BadRequestException.java", "Java", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\exception\GlobalExceptionHandler.java", "Java", 125, 0, 0, 0, 0, 0, 0, 0, 1, 26, 152
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\exception\ResourceNotFoundException.java", "Java", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\exception\UnauthorizedAccessException.java", "Java", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\exception\UnauthorizedException.java", "Java", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\ApplicationStatistic.java", "Java", 42, 0, 0, 0, 0, 0, 0, 0, 1, 16, 59
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\Comment.java", "Java", 22, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\Document.java", "Java", 31, 0, 0, 0, 0, 0, 0, 0, 0, 12, 43
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\Education.java", "Java", 39, 0, 0, 0, 0, 0, 0, 0, 0, 13, 52
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\Essay.java", "Java", 114, 0, 0, 0, 0, 0, 0, 0, 8, 42, 164
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\EssayRequirement.java", "Java", 23, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\ExpertReview.java", "Java", 51, 0, 0, 0, 0, 0, 0, 0, 6, 18, 75
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\ForumComment.java", "Java", 30, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\ForumPost.java", "Java", 49, 0, 0, 0, 0, 0, 0, 0, 1, 17, 67
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\PostLike.java", "Java", 27, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\Project.java", "Java", 37, 0, 0, 0, 0, 0, 0, 0, 0, 12, 49
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\Recommendation.java", "Java", 89, 0, 0, 0, 0, 0, 0, 0, 2, 28, 119
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\RecommendationItem.java", "Java", 88, 0, 0, 0, 0, 0, 0, 0, 3, 31, 122
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\School.java", "Java", 179, 0, 0, 0, 0, 0, 0, 0, 5, 63, 247
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\SchoolProgram.java", "Java", 104, 0, 0, 0, 0, 0, 0, 0, 0, 35, 139
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\User.java", "Java", 135, 0, 0, 0, 0, 0, 0, 0, 4, 23, 162
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\UserEducation.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\UserRole.java", "Java", 7, 0, 0, 0, 0, 0, 0, 0, 3, 1, 11
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\model\UserStatus.java", "Java", 7, 0, 0, 0, 0, 0, 0, 0, 3, 1, 11
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\payload\ApiResponse.java", "Java", 33, 0, 0, 0, 0, 0, 0, 0, 1, 9, 43
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\payload\JwtAuthenticationResponse.java", "Java", 35, 0, 0, 0, 0, 0, 0, 0, 1, 11, 47
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\payload\LoginRequest.java", "Java", 22, 0, 0, 0, 0, 0, 0, 0, 1, 7, 30
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\payload\SignUpRequest.java", "Java", 89, 0, 0, 0, 0, 0, 0, 0, 1, 24, 114
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\ApplicationStatisticRepository.java", "Java", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\CommentRepository.java", "Java", 25, 0, 0, 0, 0, 0, 0, 0, 1, 9, 35
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\EducationRepository.java", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 9, 6, 26
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\EssayRepository.java", "Java", 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\ForumCommentRepository.java", "Java", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\ForumPostRepository.java", "Java", 31, 0, 0, 0, 0, 0, 0, 0, 2, 13, 46
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\ForumRepository.java", "Java", 41, 0, 0, 0, 0, 0, 0, 0, 1, 15, 57
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\PostLikeRepository.java", "Java", 16, 0, 0, 0, 0, 0, 0, 0, 2, 6, 24
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\ProjectRepository.java", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 9, 6, 26
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\RecommendationItemRepository.java", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\RecommendationRepository.java", "Java", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\SchoolProgramRepository.java", "Java", 17, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\SchoolRepository.java", "Java", 34, 0, 0, 0, 0, 0, 0, 0, 30, 13, 77
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\repository\UserRepository.java", "Java", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\security\CurrentUser.java", "Java", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\security\JwtAuthenticationEntryPoint.java", "Java", 21, 0, 0, 0, 0, 0, 0, 0, 1, 5, 27
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\security\JwtAuthenticationFilter.java", "Java", 50, 0, 0, 0, 0, 0, 0, 0, 0, 12, 62
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\security\JwtTokenProvider.java", "Java", 70, 0, 0, 0, 0, 0, 0, 0, 4, 13, 87
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\security\SecurityConfig.java", "Java", 91, 0, 0, 0, 0, 0, 0, 0, 11, 15, 117
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\security\UserDetailsServiceImpl.java", "Java", 32, 0, 0, 0, 0, 0, 0, 0, 1, 7, 40
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\EducationService.java", "Java", 78, 0, 0, 0, 0, 0, 0, 0, 19, 19, 116
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\EssayGenerationService.java", "Java", 169, 0, 0, 0, 0, 0, 0, 0, 21, 41, 231
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\EssayPolishService.java", "Java", 199, 0, 0, 0, 0, 0, 0, 0, 45, 60, 304
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\EssayService.java", "Java", 189, 0, 0, 0, 0, 0, 0, 0, 23, 33, 245
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\ForumService.java", "Java", 26, 0, 0, 0, 0, 0, 0, 0, 102, 18, 146
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\ProjectService.java", "Java", 75, 0, 0, 0, 0, 0, 0, 0, 19, 19, 113
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\RecommendationService.java", "Java", 20, 0, 0, 0, 0, 0, 0, 0, 68, 13, 101
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\SchoolService.java", "Java", 16, 0, 0, 0, 0, 0, 0, 0, 61, 12, 89
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\UserService.java", "Java", 331, 0, 0, 0, 0, 0, 0, 0, 99, 73, 503
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\impl\ForumServiceImpl.java", "Java", 420, 0, 0, 0, 0, 0, 0, 0, 32, 90, 542
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\impl\RecommendationServiceImpl.java", "Java", 503, 0, 0, 0, 0, 0, 0, 0, 80, 104, 687
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\service\impl\SchoolServiceImpl.java", "Java", 240, 0, 0, 0, 0, 0, 0, 0, 17, 30, 287
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\util\AuthUtil.java", "Java", 55, 0, 0, 0, 0, 0, 0, 0, 0, 8, 63
"e:\AdmitGenius\backend\src\test\java\org\example\admitgeniusbackend\AdmitGeniusBackEndApplicationTests.java", "Java", 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"Total", "-", 6831, 3, 185, 1470, 108, 1378, 156, 851, 1262, 2333, 14577
