"filename", "language", "TypeScript", "JSON with Comments", "HTML", "JSON", "vue", "SCSS", "XML", "Java", "Java Properties", "Shell Script", "MS SQL", "Batch", "Markdown", "PlantUML", "comment", "blank", "total"
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\controller\AdminController.java", "Java", 0, 0, 0, 0, 0, 0, 0, -121, 0, 0, 0, 0, 0, 0, -67, -25, -213
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\controller\AuthController.java", "Java", 0, 0, 0, 0, 0, 0, 0, -122, 0, 0, 0, 0, 0, 0, -9, -30, -161
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\controller\EducationController.java", "Java", 0, 0, 0, 0, 0, 0, 0, -113, 0, 0, 0, 0, 0, 0, -13, -13, -139
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\controller\EssayController.java", "Java", 0, 0, 0, 0, 0, 0, 0, -44, 0, 0, 0, 0, 0, 0, -20, -8, -72
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\controller\EssayGenerationController.java", "Java", 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, 0, 0, 0, 0, -9, -5, -32
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\controller\EssayPolishController.java", "Java", 0, 0, 0, 0, 0, 0, 0, -31, 0, 0, 0, 0, 0, 0, -28, -7, -66
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\controller\FileController.java", "Java", 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, 0, 0, 0, 0, -5, -14, -93
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\controller\ForumController.java", "Java", 0, 0, 0, 0, 0, 0, 0, -294, 0, 0, 0, 0, 0, 0, -22, -49, -365
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\controller\InternalAdminController.java", "Java", 0, 0, 0, 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, -8, -4, -35
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\controller\ProjectController.java", "Java", 0, 0, 0, 0, 0, 0, 0, -113, 0, 0, 0, 0, 0, 0, -13, -13, -139
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\controller\RecommendationController.java", "Java", 0, 0, 0, 0, 0, 0, 0, -99, 0, 0, 0, 0, 0, 0, -89, -18, -206
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\controller\SchoolManagementController.java", "Java", 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, 0, 0, 0, 0, -7, -17, -107
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\controller\StatisticsController.java", "Java", 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, 0, 0, 0, 0, -3, -7, -35
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\controller\SystemController.java", "Java", 0, 0, 0, 0, 0, 0, 0, -65, 0, 0, 0, 0, 0, 0, -19, -14, -98
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\controller\UserController.java", "Java", 0, 0, 0, 0, 0, 0, 0, -209, 0, 0, 0, 0, 0, 0, -14, -29, -252
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\AdminResetPasswordRequestDTO.java", "Java", 0, 0, 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, -2, -12
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\ApiResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, -24, 0, 0, 0, 0, 0, 0, 0, -6, -30
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\CommentDTO.java", "Java", 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, -2, -19
"e:\AdmitGenius\backend\src\main\java\com\admitgenius\dto\CreateAdminRequestDTO.java", "Java", 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, -4, -18
